ATW	CWA	0.8	44.0	55
ATW	MKE	4.8277	4118.0	853
ATW	LEX	5.0	5.0	1
ATW	MSP	5.8227	12181.0	2092
ATW	CVG	8.2981	53531.0	6451
ATW	DTW	9.0042	17027.0	1891
ATW	ATL	14.8314	62900.0	4241
ATW	ORD	19.4228	126384.0	6507
AUS	MCN	0.0	0.0	1
AUS	SPI	0.0	0.0	1
AUS	PIH	0.0	0.0	1
AUS	CMH	0.0	0.0	3
AUS	BHM	0.0	0.0	1
AUS	COS	0.0	0.0	2
AUS	SHV	0.0	0.0	1
AUS	SBN	2.0	2.0	1
AUS	PWM	3.0	3.0	1
AUS	MEM	3.3713	57825.0	17152
AVL	LEX	0.0	0.0	1
AVL	TRI	0.0	0.0	1
AVL	CLT	4.5193	112557.0	24906
AVL	LGA	5.0	5.0	1
AVL	IAH	5.7346	12123.0	2114
AVL	BWI	5.9112	6727.0	1138
AVL	MCO	6.7447	317.0	47
AVL	MSP	6.8683	4485.0	653
AVL	CVG	8.276	24348.0	2942
AVL	AGS	10.0	10.0	1
AVP	AZO	0.0	0.0	1
AVP	HPN	0.0	0.0	1
AVP	BWI	3.118	3698.0	1186
AVP	ELM	3.5101	523.0	149
AVP	ABE	4.2576	10661.0	2504
AVP	PIT	4.9083	91775.0	18698
AVP	PHL	5.1439	21419.0	4164
AVP	CLT	5.3662	1905.0	355
AVP	MDT	7.0811	1572.0	222
AVP	CVG	7.1007	30810.0	4339
AZO	SBN	0.9091	80.0	88
AZO	GRB	1.2509	1037.0	829
AZO	PIT	2.3237	5930.0	2552
AZO	DAY	4.1289	19955.0	4833
AZO	DTW	5.6782	105887.0	18648
AZO	MSP	6.1411	40605.0	6612
AZO	CVG	6.7685	40530.0	5988
AZO	LAN	8.9274	38513.0	4314
AZO	ATL	11.8633	8850.0	746
AZO	ORD	12.499	180748.0	14461
BDL	SWF	0.0	0.0	1
BDL	SAT	0.0	0.0	1
BDL	HPN	0.3333	1.0	3
BDL	ALB	1.0	2.0	2
BDL	MEM	1.5833	76.0	48
BDL	DAY	2.5706	419.0	163
BDL	ROC	2.7772	997.0	359
BDL	ISP	3.5601	1570.0	441
BDL	IAH	3.841	12487.0	3251
BDL	SLC	4.3568	1050.0	241
BET	ANI	8.1493	1801.0	221
BET	KSM	10.5161	2282.0	217
BET	ADQ	11.087	1020.0	92
BET	ANC	11.7308	201184.0	17150
BFF	RAP	131.0	131.0	1
BFI	DEN	28.0	28.0	1
BFL	PIH	0.0	0.0	1
BFL	SMF	2.173	741.0	341
BFL	BUR	2.2083	265.0	120
BFL	CDC	3.0	3.0	1
BFL	SNA	3.6684	719.0	196
BFL	SLC	4.6942	10055.0	2142
BFL	DEN	4.8718	3269.0	671
BFL	LAX	5.545	61339.0	11062
BFL	SAN	5.6362	3207.0	569
BFL	LGB	6.0	6.0	1
BGM	ITH	1.32	264.0	200
BGM	ELM	1.3997	949.0	678
BGM	BWI	4.7857	13754.0	2874
BGM	PIT	5.5863	83717.0	14986
BGM	PHL	5.8729	1386.0	236
BGM	CVG	6.8346	15829.0	2316
BGM	IAD	7.8529	12494.0	1591
BGM	JFK	11.8824	202.0	17
BGM	DTW	12.2846	15626.0	1272
BGM	ATL	17.2035	9892.0	575
BGR	SYR	2.6015	692.0	266
BGR	SWF	3.0072	2514.0	836
BGR	MHT	3.7658	4534.0	1204
BGR	PIT	3.9824	1581.0	397
BGR	PWM	4.3898	20044.0	4566
BGR	BTV	5.2535	1886.0	359
BGR	PVD	7.5579	17557.0	2323
BGR	BOS	9.595	263643.0	27477
BGR	MSP	10.4286	219.0	21
BGR	PHL	10.9304	5028.0	460
BHM	MKE	0.0	0.0	1
BHM	OKC	0.0	0.0	1
BHM	MEM	3.2122	64491.0	20077
BHM	CLE	3.3205	2248.0	677
BHM	STL	3.5061	15339.0	4375
BHM	BNA	4.0483	121203.0	29939
BHM	PNS	4.1439	576.0	139
BHM	CLT	4.4631	108753.0	24367
BHM	PIT	4.5	11790.0	2620
BHM	HSV	4.6026	35440.0	7700
BIL	CPR	0.0	0.0	1
BIL	RAP	0.0	0.0	1
BIL	PHX	0.0	0.0	17
BIL	TWF	1.6667	5.0	3
BIL	CVG	4.3352	1526.0	352
BIL	MSP	4.7472	98357.0	20719
BIL	BZN	5.4177	32143.0	5933
BIL	SLC	5.7201	160786.0	28109
BIL	GEG	5.8071	5389.0	928
BIL	GTF	7.3869	34120.0	4619
BIS	GJT	0.0	0.0	5
BIS	COS	0.0	0.0	1
BIS	CPR	1.1672	349.0	299
BIS	SLC	2.1075	3216.0	1526
BIS	MSP	4.966	134668.0	27118
BIS	MOT	5.5163	27791.0	5038
BIS	DEN	6.0047	59447.0	9900
BIS	CYS	8.0	8.0	1
BIS	RAP	8.6667	26.0	3
BIS	FSD	12.197	18515.0	1518
BJI	MSP	9.385	1755.0	187
BLI	PIH	0.0	0.0	1
BLI	SEA	5.4102	30232.0	5588
BLI	SLC	6.3501	6947.0	1094
BLI	TWF	20.0	20.0	1
BMI	LAS	5.528	691.0	125
BMI	MCO	8.6738	8908.0	1027
BMI	ATL	13.4253	114800.0	8551
BMI	ORD	15.843	175556.0	11081
BNA	SGF	0.0	0.0	1
BNA	OKC	0.0	0.0	1
BNA	CID	0.0	0.0	1
BNA	SHV	0.0	0.0	1
BNA	OMA	2.3692	507.0	214
BNA	TUL	3.4257	507.0	148
BNA	EVV	4.1667	100.0	24
BNA	GSP	4.2871	2285.0	533
BNA	RIC	4.665	14107.0	3024
BNA	JAN	4.7739	26137.0	5475
BOI	GJT	0.0	0.0	3
BOI	ATW	0.0	0.0	1
BOI	IDA	0.0	0.0	1
BOI	OGD	0.0	0.0	1
BOI	MLI	0.0	0.0	1
BOI	FAT	0.9048	38.0	42
BOI	FSD	1.0	1.0	1
BOI	TVC	2.0	2.0	1
BOI	DFW	3.475	139.0	40
BOI	COS	3.5	14.0	4
BOS	SWF	0.0	0.0	1
BOS	ONT	0.0	0.0	2
BOS	GGG	2.0	4.0	2
BOS	LGA	4.5147	748360.0	165760
BOS	AUS	4.877	7057.0	1447
BOS	BDL	6.3363	22348.0	3527
BOS	MSY	7.3564	4686.0	637
BOS	LGB	7.5961	29564.0	3892
BOS	DCA	7.9648	1223995.0	153676
BOS	MKE	8.0262	26350.0	3283
BPT	DFW	6.0245	16706.0	2773
BPT	IAH	6.0434	31069.0	5141
BPT	ATL	10.5018	2930.0	279
BQK	ATL	11.3394	74296.0	6552
BQN	MIA	4.5822	4848.0	1058
BQN	JFK	5.3236	19330.0	3631
BQN	EWR	9.9052	23198.0	2342
BQN	MCO	12.7838	13129.0	1027
BRO	IAH	6.6579	93563.0	14053
BRW	ANC	12.8823	25494.0	1979
BRW	FAI	13.9447	120705.0	8656
BRW	SCC	14.3299	15333.0	1070
BTM	PIH	0.0	0.0	2
BTM	IDA	0.0	0.0	1
BTM	GJT	0.0	0.0	1
BTM	HLN	2.7727	244.0	88
BTM	BZN	3.8634	16091.0	4165
BTM	SLC	4.2497	25906.0	6096
BTM	MSO	141.0	141.0	1
BTR	AEX	0.0	0.0	2
BTR	CRP	0.0	0.0	1
BTR	BNA	2.9409	16666.0	5667
BTR	MEM	3.5529	59397.0	16718
BTR	JAN	4.558	17553.0	3851
BTR	MSY	4.5996	2102.0	457
BTR	BHM	6.0943	12926.0	2121
BTR	SHV	6.3264	5485.0	867
BTR	IAH	8.1012	166156.0	20510
BTR	LFT	8.7553	6190.0	707
BTV	COS	0.0	0.0	1
BTV	AZO	0.0	0.0	1
BTV	SYR	1.9564	988.0	505
BTV	ALB	2.6108	2167.0	830
BTV	BDL	3.0727	169.0	55
BTV	MHT	5.7468	11850.0	2062
BTV	MCO	5.9418	1735.0	292
BTV	HPN	6.0833	73.0	12
BTV	LGA	6.2836	32612.0	5190
BTV	PIT	6.5808	78127.0	11872
BUF	ISP	0.0	0.0	1
BUF	PBI	0.0	0.0	1
BUF	TYS	0.0	0.0	1
BUF	RDU	2.534	15835.0	6249
BUF	BDL	4.4029	18994.0	4314
BUF	ALB	4.7576	22199.0	4666
BUF	DTW	5.3568	175549.0	32771
BUF	LAS	6.0115	17247.0	2869
BUF	ROC	6.2052	29996.0	4834
BUF	SYR	6.5279	22593.0	3461
BUR	TWF	0.0	0.0	1
BUR	PSP	0.0	0.0	1
BUR	PMD	1.0	1.0	1
BUR	MCO	2.5246	308.0	122
BUR	GJT	3.0	9.0	3
BUR	LGB	3.7827	5814.0	1537
BUR	SNA	3.9231	1122.0	286
BUR	ONT	3.9257	7498.0	1910
BUR	RNO	3.95	1185.0	300
BUR	LAX	5.0	5.0	1
BWI	SAV	0.0	0.0	1
BWI	MLB	2.3842	844.0	354
BWI	IAD	3.0871	886.0	287
BWI	DAB	3.8378	1136.0	296
BWI	SRQ	4.2689	8081.0	1893
BWI	CHO	4.8261	1665.0	345
BWI	MDT	4.9014	3083.0	629
BWI	UCA	4.9399	12913.0	2614
BWI	OAJ	5.32	4788.0	900
BWI	GSP	5.4311	5165.0	951
BZN	RFD	0.0	0.0	1
BZN	COS	0.0	0.0	3
BZN	LAX	0.0	0.0	11
BZN	MSN	0.0	0.0	1
BZN	PIH	0.8333	5.0	6
BZN	BIL	2.3088	14125.0	6118
BZN	SLC	6.0509	167841.0	27738
BZN	IDA	7.25	29.0	4
BZN	DEN	7.6399	92046.0	12048
BZN	MSP	7.7521	92413.0	11921
CAE	HOU	0.0	0.0	1
CAE	FLL	0.0	0.0	1
CAE	DAB	0.0	0.0	1
CAE	AEX	0.0	0.0	1
CAE	GSP	1.3125	42.0	32
CAE	RDU	2.2651	9697.0	4281
CAE	GSO	4.3209	4740.0	1097
CAE	CLT	4.3385	128757.0	29678
CAE	BWI	5.7121	10299.0	1803
CAE	PHL	6.0841	8031.0	1320
CAK	IND	1.9775	439.0	222
CAK	CLT	2.9281	6553.0	2238
CAK	FWA	3.0424	861.0	283
CAK	DAY	4.1288	17700.0	4287
CAK	CMH	4.1778	3242.0	776
CAK	PIT	4.5885	44334.0	9662
CAK	RSW	4.7124	1753.0	372
CAK	LAS	4.9153	1219.0	248
CAK	TPA	5.5029	9432.0	1714
CAK	DEN	5.7936	14316.0	2471
CCR	LAX	3.3812	13481.0	3987
CDC	PVU	0.0	0.0	1
CDC	SLC	6.7246	23341.0	3471
CDC	SGU	7.4733	979.0	131
CDC	LAX	50.5	101.0	2
CDV	YAK	10.9479	76504.0	6988
CDV	ANC	12.1264	84727.0	6987
CEC	SMF	5.3942	1122.0	208
CEC	ACV	7.8663	23772.0	3022
CEC	SFO	27.4508	73870.0	2691
CEC	RDD	115.0	115.0	1
CHA	TOL	0.0	0.0	1
CHA	SDF	0.0	0.0	1
CHA	BNA	1.4615	4706.0	3220
CHA	TYS	2.2333	67.0	30
