1	SMF	PHX	LAX	0.0	03/01	05/01
1	SMF	PHX	LAS	0.0	03/01	05/01
1	SMF	PHX	DTW	0.0	03/01	05/01
1	SMF	ONT	LAS	0.0	03/01	05/01
1	SMF	MSP	SEA	0.0	03/01	05/01
1	SMF	MSP	RSW	0.0	02/01	04/01
1	SMF	MSP	PHX	0.0	02/01	04/01
1	SMF	MSP	ORD	0.0	03/01	05/01
1	SMF	MSP	ORD	0.0	02/01	04/01
1	SMF	MSP	MKE	0.0	03/01	05/01
1	SMF	MSP	MKE	0.0	02/01	04/01
1	SMF	MSP	LGA	0.0	03/01	05/01
1	SMF	MSP	EWR	0.0	03/01	05/01
1	SMF	MSP	EWR	0.0	02/01	04/01
1	SMF	MSP	DLH	0.0	02/01	04/01
1	SMF	MSP	DCA	0.0	03/01	05/01
1	SMF	MSP	DCA	0.0	02/01	04/01
1	SMF	MDW	TPA	0.0	03/01	05/01
1	SMF	MDW	STL	0.0	03/01	05/01
1	SMF	MDW	RSW	0.0	03/01	05/01
1	SMF	MDW	PVD	0.0	03/01	05/01
1	SMF	MDW	PHL	0.0	03/01	05/01
1	SMF	MDW	OMA	0.0	03/01	05/01
1	SMF	MDW	MCO	0.0	03/01	05/01
1	SMF	MDW	ISP	0.0	03/01	05/01
1	SMF	MDW	CMH	0.0	03/01	05/01
1	SMF	MDW	BWI	0.0	03/01	05/01
1	SMF	MDW	BNA	0.0	03/01	05/01
1	SMF	MDW	BDL	0.0	03/01	05/01
1	SMF	LAX	DTW	0.0	03/01	05/01
1	SLC	SEA	MSP	0.0	03/01	05/01
1	SLC	SEA	MDW	0.0	03/01	05/01
1	SLC	SEA	GEG	0.0	03/01	05/01
1	SLC	SEA	DTW	0.0	03/01	05/01
1	SLC	SEA	DEN	0.0	03/01	05/01
1	SLC	SEA	BOI	0.0	03/01	05/01
1	SLC	DEN	SEA	0.0	03/01	05/01
1	SLC	DEN	LAS	0.0	03/01	05/01
1	SLC	DEN	AUS	0.0	03/01	05/01
1	SLC	ABQ	PHX	0.0	03/01	05/01
1	SLC	ABQ	MDW	0.0	03/01	05/01
1	SLC	ABQ	LAS	0.0	03/01	05/01
1	SLC	ABQ	DAL	0.0	03/01	05/01
1	SJC	PHX	ONT	0.0	03/01	05/01
1	SJC	PHX	MSP	0.0	03/01	05/01
1	SJC	PHX	MEM	0.0	03/01	05/01
1	SJC	PHX	LAX	0.0	03/01	05/01
1	SJC	PHX	LAS	0.0	03/01	05/01
1	SJC	PHX	DTW	0.0	03/01	05/01
1	SJC	MSP	RSW	0.0	02/01	04/01
1	SJC	MSP	PHX	0.0	02/01	04/01
1	SJC	MSP	ORD	0.0	02/01	04/01
1	SJC	MSP	MKE	0.0	02/01	04/01
1	SJC	MSP	EWR	0.0	02/01	04/01
1	SJC	MSP	DLH	0.0	02/01	04/01
1	SJC	MSP	DCA	0.0	02/01	04/01
1	SJC	LAX	DTW	0.0	03/01	05/01
1	SFO	SAN	PHX	0.0	03/01	05/01
1	SFO	MSP	SEA	0.0	03/01	05/01
1	SFO	MSP	SEA	0.0	01/01	03/01
1	SFO	MSP	RSW	0.0	02/01	04/01
1	SFO	MSP	PVD	0.0	01/01	03/01
1	SFO	MSP	PHX	0.0	02/01	04/01
1	SFO	MSP	ORD	0.0	03/01	05/01
1	SFO	MSP	ORD	0.0	02/01	04/01
1	SFO	MSP	ORD	0.0	01/01	03/01
1	SFO	MSP	MKE	0.0	03/01	05/01
1	SFO	MSP	MKE	0.0	02/01	04/01
1	SFO	MSP	MKE	0.0	01/01	03/01
1	SFO	MSP	LGA	0.0	03/01	05/01
1	SFO	MSP	GFK	0.0	01/01	03/01
1	SFO	MSP	EWR	0.0	03/01	05/01
1	SFO	MSP	EWR	0.0	02/01	04/01
1	SFO	MSP	DLH	0.0	02/01	04/01
1	SFO	MSP	DLH	0.0	01/01	03/01
1	SFO	MSP	DCA	0.0	03/01	05/01
1	SFO	MSP	DCA	0.0	02/01	04/01
1	SEA	MSP	SEA	0.0	03/01	05/01
1	SEA	MSP	SEA	0.0	01/01	03/01
1	SEA	MSP	RSW	0.0	02/01	04/01
1	SEA	MSP	PVD	0.0	01/01	03/01
1	SEA	MSP	PHX	0.0	02/01	04/01
1	SEA	MSP	ORD	0.0	03/01	05/01
1	SEA	MSP	ORD	0.0	02/01	04/01
1	SEA	MSP	ORD	0.0	01/01	03/01
1	SEA	MSP	MKE	0.0	03/01	05/01
1	SEA	MSP	MKE	0.0	02/01	04/01
1	SEA	MSP	MKE	0.0	01/01	03/01
1	SEA	MSP	LGA	0.0	03/01	05/01
1	SEA	MSP	GFK	0.0	01/01	03/01
1	SEA	MSP	EWR	0.0	03/01	05/01
1	SEA	MSP	EWR	0.0	02/01	04/01
1	SEA	MSP	DLH	0.0	02/01	04/01
1	SEA	MSP	DLH	0.0	01/01	03/01
1	SEA	MSP	DCA	0.0	03/01	05/01
1	SEA	MSP	DCA	0.0	02/01	04/01
1	SEA	HNL	SEA	0.0	03/01	05/01
1	SDF	LGA	XNA	0.0	02/01	04/01
1	SDF	LGA	SDF	0.0	02/01	04/01
1	SDF	LGA	PIT	0.0	02/01	04/01
1	SDF	LGA	MEM	0.0	02/01	04/01
1	SDF	LGA	FNT	0.0	02/01	04/01
1	SDF	LGA	DTW	0.0	02/01	04/01
1	SDF	LGA	CVG	0.0	02/01	04/01
1	SDF	LGA	CMH	0.0	02/01	04/01
1	SDF	LGA	CLT	0.0	02/01	04/01
1	SDF	LGA	CLE	0.0	02/01	04/01
1	SDF	LGA	BOS	0.0	02/01	04/01
1	SDF	BWI	RDU	0.0	03/01	05/01
1	SDF	BWI	PVD	0.0	03/01	05/01
1	SDF	BWI	PBI	0.0	03/01	05/01
1	SDF	BWI	ORF	0.0	03/01	05/01
1	SDF	BWI	MHT	0.0	03/01	05/01
1	SDF	BWI	MDW	0.0	03/01	05/01
1	SDF	BWI	BDL	0.0	03/01	05/01
1	SDF	BHM	TPA	0.0	03/01	05/01
1	SDF	BHM	MSY	0.0	03/01	05/01
1	SDF	BHM	JAX	0.0	03/01	05/01
1	SDF	BHM	BWI	0.0	03/01	05/01
1	SAT	HRL	SAT	0.0	03/01	05/01
1	SAT	HOU	STL	0.0	03/01	05/01
1	SAT	HOU	SAT	0.0	03/01	05/01
1	SAT	HOU	MCO	0.0	03/01	05/01
1	SAT	HOU	MAF	0.0	03/01	05/01
1	SAT	HOU	JAN	0.0	03/01	05/01
1	SAT	HOU	DAL	0.0	03/01	05/01
1	SAT	HOU	CRP	0.0	03/01	05/01
1	SAT	HOU	BWI	0.0	03/01	05/01
1	SAT	HOU	AUS	0.0	03/01	05/01
1	SAT	ELP	DAL	0.0	03/01	05/01
1	SAT	ELP	ABQ	0.0	03/01	05/01
1	SAT	DAL	TUL	0.0	03/01	05/01
1	SAT	DAL	SAT	0.0	03/01	05/01
1	SAT	DAL	LBB	0.0	03/01	05/01
1	SAT	DAL	HOU	0.0	03/01	05/01
1	SAT	DAL	AUS	0.0	03/01	05/01
1	SAT	DAL	AMA	0.0	03/01	05/01
1	SAN	SAT	PHX	0.0	03/01	05/01
1	SAN	SAT	MCO	0.0	03/01	05/01
1	SAN	SAT	HOU	0.0	03/01	05/01
1	SAN	SAT	DAL	0.0	03/01	05/01
1	SAN	PHX	ONT	0.0	03/01	05/01
1	SAN	PHX	MSP	0.0	03/01	05/01
1	SAN	PHX	MEM	0.0	03/01	05/01
1	SAN	PHX	LAX	0.0	03/01	05/01
1	SAN	PHX	LAS	0.0	03/01	05/01
1	SAN	PHX	DTW	0.0	03/01	05/01
1	SAN	MSP	SEA	0.0	01/01	03/01
1	SAN	MSP	PVD	0.0	01/01	03/01
1	SAN	MSP	ORD	0.0	01/01	03/01
1	SAN	MSP	MKE	0.0	01/01	03/01
1	SAN	MSP	GFK	0.0	01/01	03/01
1	SAN	MSP	DLH	0.0	01/01	03/01
1	SAN	BWI	RDU	0.0	03/01	05/01
1	SAN	BWI	PVD	0.0	03/01	05/01
1	SAN	BWI	PBI	0.0	03/01	05/01
1	SAN	BWI	ORF	0.0	03/01	05/01
1	SAN	BWI	MHT	0.0	03/01	05/01
1	SAN	BWI	MDW	0.0	03/01	05/01
1	SAN	BWI	BDL	0.0	03/01	05/01
1	SAN	BNA	MDW	0.0	03/01	05/01
1	SAN	BNA	MCO	0.0	03/01	05/01
1	SAN	BNA	MCI	0.0	03/01	05/01
1	SAN	BNA	LAS	0.0	03/01	05/01
1	SAN	BNA	HOU	0.0	03/01	05/01
1	SAN	BNA	AUS	0.0	03/01	05/01
1	SAN	ABQ	PHX	0.0	03/01	05/01
1	SAN	ABQ	MDW	0.0	03/01	05/01
1	SAN	ABQ	LAS	0.0	03/01	05/01
1	SAN	ABQ	DAL	0.0	03/01	05/01
1	RSW	MSP	RSW	0.0	02/01	04/01
1	RSW	MSP	PHX	0.0	02/01	04/01
1	RSW	MSP	ORD	0.0	02/01	04/01
1	RSW	MSP	MKE	0.0	02/01	04/01
1	RSW	MSP	EWR	0.0	02/01	04/01
1	RSW	MSP	DLH	0.0	02/01	04/01
1	RSW	MSP	DCA	0.0	02/01	04/01
1	RSW	MDW	TPA	0.0	03/01	05/01
1	RSW	MDW	STL	0.0	03/01	05/01
1	RSW	MDW	RSW	0.0	03/01	05/01
1	RSW	MDW	PVD	0.0	03/01	05/01
1	RSW	MDW	PHL	0.0	03/01	05/01
1	RSW	MDW	OMA	0.0	03/01	05/01
1	RSW	MDW	MCO	0.0	03/01	05/01
1	RSW	MDW	ISP	0.0	03/01	05/01
1	RSW	MDW	CMH	0.0	03/01	05/01
1	RSW	MDW	BWI	0.0	03/01	05/01
1	RSW	MDW	BNA	0.0	03/01	05/01
1	RSW	MDW	BDL	0.0	03/01	05/01
1	RSW	MCO	STL	0.0	03/01	05/01
1	RSW	MCO	RDU	0.0	03/01	05/01
1	RSW	MCO	PIT	0.0	03/01	05/01
1	RSW	MCO	PHL	0.0	03/01	05/01
1	RSW	MCO	ORF	0.0	03/01	05/01
1	RSW	MCO	MSY	0.0	03/01	05/01
1	RSW	MCO	MHT	0.0	03/01	05/01
1	RSW	MCO	JAN	0.0	03/01	05/01
1	RSW	MCO	CMH	0.0	03/01	05/01
1	RSW	MCO	BWI	0.0	03/01	05/01
1	RSW	MCO	BNA	0.0	03/01	05/01
1	RDU	BNA	MDW	0.0	03/01	05/01
1	RDU	BNA	MCO	0.0	03/01	05/01
1	RDU	BNA	MCI	0.0	03/01	05/01
1	RDU	BNA	LAS	0.0	03/01	05/01
1	RDU	BNA	HOU	0.0	03/01	05/01
1	RDU	BNA	AUS	0.0	03/01	05/01
1	PVD	PHL	RSW	0.0	03/01	05/01
1	PVD	PHL	PVD	0.0	03/01	05/01
1	PVD	PHL	MHT	0.0	03/01	05/01
