ALB	MDW	WN	9.1764	12067.0	1315
ALB	MSP	9E	16.9587	6563.0	387
ALB	ORD	MQ	18.9022	36141.0	1912
ALB	ORD	UA	22.8978	31828.0	1390
ALB	PHL	US	11.0832	7725.0	697
ALB	TPA	WN	6.9087	4767.0	690
ALO	MSP	9E	16.1996	8116.0	501
AMA	ABQ	WN	7.6341	7115.0	932
AMA	DAL	WN	9.4332	45383.0	4811
AMA	DEN	WN	9.5828	6890.0	719
AMA	DFW	MQ	15.0316	75263.0	5007
AMA	IAH	XE	12.0725	16817.0	1393
AMA	LAS	WN	11.1271	7444.0	669
AMA	TUL	XE	26.0	26.0	1
ANC	ADK	AS	13.8741	1873.0	135
ANC	ADQ	AS	8.4277	10206.0	1211
ANC	AKN	AS	17.2105	5232.0	304
ANC	ATL	DL	26.2172	5794.0	221
ANC	BET	AS	10.1432	18917.0	1865
ANC	CDV	AS	19.8216	13003.0	656
ANC	CVG	DL	14.0437	2570.0	183
ANC	DEN	UA	7.2469	3551.0	490
ANC	DEN	AS	8.9713	1561.0	174
ANC	DEN	F9	17.6317	5554.0	315
ANC	DFW	AA	25.5382	7687.0	301
ANC	DLG	AS	8.6538	1800.0	208
ANC	DTW	NW	6.6374	1135.0	171
ANC	FAI	AS	10.1757	62214.0	6114
ANC	HNL	AS	7.9343	1571.0	198
ANC	IAH	CO	26.8684	12252.0	456
ANC	JNU	AS	14.9571	31739.0	2122
ANC	KOA	NW	23.7143	332.0	14
ANC	LAS	US	15.1481	7059.0	466
ANC	LAX	AS	10.1874	5002.0	491
ANC	LAX	DL	24.9765	2123.0	85
ANC	MSP	NW	13.5787	21142.0	1557
ANC	OGG	AS	0.0	0.0	1
ANC	OGG	NW	18.5147	1259.0	68
ANC	OME	AS	11.4152	7340.0	643
ANC	ORD	AS	7.9625	5303.0	666
ANC	ORD	UA	19.1358	7329.0	383
ANC	OTZ	AS	12.4233	15790.0	1271
ANC	PDX	AS	8.2424	8976.0	1089
ANC	PHX	US	12.0985	7985.0	660
ANC	SCC	AS	15.9313	10435.0	655
ANC	SEA	AS	11.1225	113138.0	10172
ANC	SEA	CO	13.8979	18109.0	1303
ANC	SFO	AS	3.8252	547.0	143
ANC	SFO	UA	24.6683	5057.0	205
ANC	SLC	DL	7.0193	6170.0	879
APF	ATL	EV	20.6816	11044.0	534
ASE	ATL	OO	14.5	87.0	6
ASE	DEN	YV	13.347	38466.0	2882
ASE	DEN	OO	15.114	56360.0	3729
ASE	LAX	OO	21.9507	11129.0	507
ASE	ORD	OO	54.4383	26457.0	486
ASE	PHX	YV	16.9333	3302.0	195
ASE	SFO	OO	35.4511	4715.0	133
ASE	SLC	OO	16.7556	18096.0	1080
ATL	ABE	OH	10.6667	480.0	45
ATL	ABE	EV	21.3659	34570.0	1618
ATL	ABQ	DL	15.2794	31063.0	2033
ATL	ABY	EV	17.741	39048.0	2201
ATL	ACY	EV	25.2089	17495.0	694
ATL	AEX	EV	19.911	37353.0	1876
ATL	AGS	EV	22.2556	90380.0	4061
ATL	ALB	OO	8.7019	905.0	104
ATL	ALB	EV	24.5856	54408.0	2213
ATL	ALB	OH	43.875	702.0	16
ATL	ANC	DL	25.5714	5728.0	224
ATL	APF	EV	20.2621	10901.0	538
ATL	ASE	OO	25.8	129.0	5
ATL	ATW	OH	13.8235	470.0	34
ATL	ATW	EV	20.0248	31539.0	1575
ATL	AUS	9E	8.4789	1204.0	142
ATL	AUS	OO	12.6552	3670.0	290
ATL	AUS	DL	14.2995	28985.0	2027
ATL	AUS	EV	15.3649	14904.0	970
ATL	AUS	OH	24.7647	12630.0	510
ATL	AVL	OH	10.8	54.0	5
ATL	AVL	EV	20.8936	63642.0	3046
ATL	AVP	EV	23.5582	29542.0	1254
ATL	AZO	EV	17.0255	4682.0	275
ATL	BDL	OH	7.7143	54.0	7
ATL	BDL	DL	11.0442	42266.0	3827
ATL	BDL	EV	26.0	156.0	6
ATL	BGM	EV	11.2811	2448.0	217
ATL	BGR	EV	27.9073	20763.0	744
ATL	BHM	DL	11.791	41858.0	3550
ATL	BHM	9E	13.6136	1797.0	132
ATL	BHM	EV	13.7869	12808.0	929
ATL	BHM	OO	27.5246	5037.0	183
ATL	BHM	OH	34.4595	1275.0	37
ATL	BMI	FL	15.2665	30014.0	1966
ATL	BMI	EV	15.9793	26286.0	1645
ATL	BNA	9E	11.5857	811.0	70
ATL	BNA	OH	12.7183	903.0	71
ATL	BNA	DL	13.2832	39730.0	2991
ATL	BNA	EV	14.6341	23839.0	1629
ATL	BNA	OO	20.0216	5566.0	278
ATL	BOI	DL	21.5676	3990.0	185
ATL	BOS	DL	13.3124	91909.0	6904
ATL	BOS	FL	14.7161	53655.0	3646
ATL	BQK	EV	18.5312	32022.0	1728
ATL	BQN	EV	2.3333	21.0	9
ATL	BTR	OH	20.2405	3198.0	158
ATL	BTR	EV	22.5151	98864.0	4391
ATL	BTV	EV	24.5333	22865.0	932
ATL	BTV	OH	27.0143	1891.0	70
ATL	BUF	9E	10.0475	2964.0	295
ATL	BUF	FL	10.706	25127.0	2347
ATL	BUF	OO	11.9253	10530.0	883
ATL	BUF	DL	12.0297	21052.0	1750
ATL	BUF	EV	18.5249	23471.0	1267
ATL	BUF	OH	40.3723	3795.0	94
ATL	BWI	9E	3.0	213.0	71
ATL	BWI	EV	9.1852	248.0	27
ATL	BWI	DL	12.2068	70641.0	5787
ATL	BWI	FL	16.5738	73969.0	4463
ATL	BWI	OH	23.4	117.0	5
ATL	BZN	DL	12.8	1408.0	110
ATL	CAE	OH	0.6	3.0	5
ATL	CAE	DL	16.1966	17055.0	1053
ATL	CAE	EV	18.6669	59566.0	3191
ATL	CAK	DL	7.1591	630.0	88
ATL	CAK	FL	12.4584	33077.0	2655
ATL	CAK	EV	17.8246	60568.0	3398
ATL	CAK	OH	24.5145	4241.0	173
ATL	CHA	EV	20.98	71374.0	3402
ATL	CHA	OH	22.3333	603.0	27
ATL	CHO	EV	19.2298	30960.0	1610
ATL	CHS	OO	5.1818	171.0	33
ATL	CHS	OH	6.7273	444.0	66
ATL	CHS	DL	12.5726	60160.0	4785
ATL	CHS	FL	12.813	23986.0	1872
ATL	CHS	9E	14.3333	1032.0	72
ATL	CHS	EV	18.7634	18163.0	968
ATL	CID	EV	18.6238	11584.0	622
ATL	CID	OH	31.5185	5106.0	162
ATL	CLE	OO	11.5817	2409.0	208
ATL	CLE	XE	13.9092	22366.0	1608
ATL	CLE	DL	15.4664	12435.0	804
ATL	CLE	CO	17.5	35.0	2
ATL	CLE	EV	19.0188	50476.0	2654
ATL	CLE	OH	23.5938	2265.0	96
ATL	CLT	US	9.1869	10620.0	1156
ATL	CLT	DL	11.8825	54612.0	4596
ATL	CLT	OH	13.3415	547.0	41
ATL	CLT	FL	14.7722	46370.0	3139
ATL	CLT	YV	17.1487	37487.0	2186
ATL	CLT	EV	19.3468	8145.0	421
ATL	CLT	9E	21.369	1795.0	84
ATL	CMH	EV	8.4079	2329.0	277
ATL	CMH	DL	11.5501	17175.0	1487
ATL	CMH	OO	13.2756	1686.0	127
ATL	CMH	OH	33.8475	13539.0	400
ATL	COS	DL	11.2244	5803.0	517
ATL	COS	OO	24.957	15074.0	604
ATL	CRP	EV	23.7754	14717.0	619
ATL	CRW	OH	4.25	17.0	4
ATL	CRW	EV	19.3189	51369.0	2659
ATL	CSG	EV	19.3683	49544.0	2558
ATL	CVG	DL	10.794	34001.0	3150
ATL	CVG	9E	16.75	67.0	4
ATL	CVG	OH	17.7871	11864.0	667
